Applied Art & Architecture,"15.11829,104.90558"
Agriculture,"15.12221,104.90878"
Management Science,"15.11947,104.90315"
Political Science,"15.12049,104.91065"
Liberal Arts,"15.11706,104.90882"
Science,"15.12255,104.90651"
College of Medicine and Public Health,"15.11548,104.90527"
LAW,"15.12053,104.90608"
